gambar,kota,lokasi,nama_wisata,deskripsi,rating,ulasan,harga_asli,harga_diskon,cluster,label
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/3907110193327/Ubud-ATV-Ride-Adventure-By-ATV-Ride-Bali-ee791d07-0633-4237-a337-eea5bc3a3490.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Sukawati, Gianyar",Ubud ATV Ride Adventure By ATV Ride Bali,"Rasakan sensasi petualangan yang mendebarkan dan memacu adrenalin selama 1,5 jam dengan mengendarai ATV 4 roda melalui sawah, sungai, gua, desa, dan pepohonan hijau yang menakjubkan. Aktivitas ini sangat cocok untuk para petualang sejati yang ingin menjelajahi Bali dari sisi yang berbeda. Nikmati pengalaman seru dan ambil foto terbaik di berbagai spot menarik seperti sungai, gua, dan air terjun. Terletak hanya 25 menit dari Sanur dan 15 menit dari pusat Ubud, perjalanan ini menawarkan trek pribadi yang aman dan nyaman. Dengan didampingi oleh pemandu profesional dan dilengkapi dengan perlengkapan keselamatan yang lengkap, Anda dapat menikmati petualangan tanpa khawatir. Kami juga menyediakan harga dan layanan terbaik untuk pengalaman yang tak terlupakan!",9.4,55 reviews,750000,302090,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/2002102547582/Top-up-Kartu-Timezone-Level-21-Mall-Denpasar-425d44b1-3722-4a21-a09d-626b7c7490a5.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Level 21 Mall, Denpasar",Top-up Kartu Timezone Level 21 Mall Denpasar,"Nikmati waktu yang seru bersama teman dan keluarga di Timezone, pusat hiburan keluarga yang telah hadir di Indonesia sejak 1995! Dengan berbagai permainan arcade dan wahana menarik untuk segala usia, mulai dari anak-anak hingga dewasa, Anda bisa tantang teman bermain basket di mesin arcade atau coba keberuntungan di mesin cakar untuk mendapatkan boneka lucu. Kumpulkan tiket dari berbagai permainan seru dan tukarkan dengan hadiah menarik yang bisa dibawa pulang. Timezone hadir di berbagai cabang di 23 provinsi, menjamin keseruan tanpa batas untuk setiap kunjungan. Ajak keluarga dan teman-teman, karena pilihan permainan yang banyak di Timezone pasti membuat waktu Anda semakin menyenangkan!",9.0,681 reviews,100000,80000,5,Wahana Bermain Keluarga
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/2000079336242/Toya-Devasya-Natural-Hot-Spring-Tickets-be6d1105-d1e5-4114-ae09-e8410a00b7bb.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Kintamani, Bangli",Toya Devasya Natural Hot Spring Tickets,"Nikmati pengalaman relaksasi maksimal di Toya Devasya Natural Hot Spring, tempat pemandian air panas yang terletak di tepi Danau Batur, Bali! Dengan 8 kolam air panas geotermal yang kaya mineral, Anda dapat berendam dalam air hangat sambil menikmati pemandangan pegunungan yang memukau. Selain itu, Toya Devasya juga menawarkan berbagai aktivitas seru, seperti kolam renang ukuran Olimpiade dan taman air dengan seluncuran yang cocok untuk segala usia. Untuk pengalaman relaksasi yang lebih menyeluruh, cobalah berenang di kolam infinity tepi danau yang menenangkan atau berendam di kolam air hangat yang menawarkan sensasi luar biasa. Dapatkan tiket Anda sekarang dan rasakan sendiri keajaiban penyembuhan alam di Toya Devasya!",8.6,6493 reviews,125000,87500,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/5808809147758/Reasons-for-Adventure-ATV-Ride---90-Minutes-79e6fe94-269e-4b4c-84a2-f86cbf2fa609.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Payangan, Gianyar",Alasan Adventure ATV Ride - 90 Minutes,"Nikmati petualangan tak terlupakan selama 90 menit dengan paket penuh aksi dan keindahan alam. Mulailah perjalanan seru melalui Goa Gorilla, sungai yang menawan, air terjun yang memukau, hutan bambu, tebing-tebing menantang, hingga kolam lumpur yang memberikan sensasi unik. Setelah itu, berhenti sejenak untuk menikmati makan siang lezat sambil menikmati pemandangan sawah hijau yang sejuk. Sebagai bonus spesial, dapatkan akses gratis ke Cretya Sunset Pool Bar untuk menikmati suasana matahari terbenam yang indah. Gabungan aktivitas penuh tantangan dan relaksasi ini akan membuat hari Anda semakin berkesan. Ayo, pesan sekarang untuk pengalaman luar ruangan yang tak terlupakan!",9.7,45 reviews,1400000,596070,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/2002102547425/Timezone-Mal-Bali-Galeria-ed05239f-730c-418c-9bd9-07be2e9e43fe.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Mall Bali Galeria, Kuta",Timezone Mal Bali Galeria,"Nikmati waktu seru bersama teman dan keluarga dengan berbagai permainan di Timezone! Rasakan keseruan ratusan wahana dan permainan arcade yang cocok untuk segala usia, mulai dari anak-anak hingga orang dewasa. Tantang temanmu dalam permainan basket di mesin arcade atau coba peruntunganmu di mesin pemilih boneka. Kumpulkan tiket dari berbagai permainan seru yang tersedia, dan tukarkan dengan hadiah menarik sesuai pilihanmu. Timezone, yang telah menjadi pionir pusat hiburan keluarga di Indonesia sejak 1995, hadir di berbagai cabang di 23 provinsi dengan beragam wahana seru. Uji keterampilanmu di mesin basket, berburu boneka lucu di mesin claw, berfoto seru di photo booth, dan nikmati wahana lainnya. Kumpulkan tiket dari setiap permainan dan tukarkan dengan hadiah keren yang bisa kamu bawa pulang! Ajak keluarga dan teman-teman, karena dengan banyaknya pilihan permainan di Timezone, dijamin akan seru dan tidak akan membosankan!",9.0,367 reviews,100000,80000,5,Wahana Bermain Keluarga
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/2001804704602/Watersport-Tanjung-Benoa-by-NBC-9e7236b7-e51c-41dc-825b-9370d07ab6b3.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Tanjung Benoa, Badung Regency",Watersport Tanjung Benoa oleh NBC,"Rasakan petualangan seru di perairan dengan berbagai aktivitas menyenangkan! Nikmati sensasi seru banana boat, jelajahi keindahan bawah laut dengan snorkeling dan diving, atau rasakan kecepatan dengan flying fish, jet ski, dan rolling donut. Dapatkan pengalaman unik dengan seawalker, atau terbang tinggi di atas laut dengan parasailing dan FlyBoard. Semua kegiatan ini dilengkapi dengan perlengkapan keselamatan, peralatan pendukung, dan pemandu yang siap menemani. Aktivitas ini cocok untuk semua tingkat pengalaman dan akan memberikan kenangan tak terlupakan di perairan! Pesan sekarang dan mulai petualanganmu!",9.4,1078 reviews,250000,60210,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/2001360047158/Bali-Bird-Park-Tickets-19787cf6-dc15-4e6f-a447-45a2612bc80a.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Batubulan, Gianyar",Bali Bird Park Tickets,"Kunjungi Bali Bird Park yang terletak di atas lahan seluas 2 hektar di Desa Singapadu, Gianyar, untuk pengalaman yang menyenangkan dan edukatif! Dengan lebih dari 1.300 burung dari lebih dari 250 spesies, mulai dari Borneo hingga Afrika, Anda dapat melihat berbagai spesies burung yang luar biasa. Di sini, Anda dapat memberi makan burung, berfoto dengan mereka, dan bahkan menyaksikan bayi burung yang baru menetas. Nikmati juga teknologi pengalaman autentik di Avian 4D Theatre yang membawa Anda masuk ke dunia burung dari film. Jangan lupa berburu oleh-oleh lucu di toko suvenir. Jadikan liburan bersama keluarga atau teman semakin berkesan dengan mengunjungi Bali Bird Park!",9.3,477 reviews,140000,105000,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/3147393482907/AeroXSpace-Adventure-4e4c5071-2280-4bbd-9f94-7a2410f553bd.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"South Denpasar, Denpasar",AeroXSpace Adventure,"AeroXSpace Adventure adalah taman indoor yang menawarkan berbagai atraksi seru dengan teknologi canggih, cocok untuk semua usia. Nikmati pengalaman seru di zona trampolin, dinding panjat bertema galaksi, dan berbagai jalur rintangan yang menantang. Mulai dari terbang di Space Coaster hingga menaklukkan tantangan di area AeroXParkour, setiap atraksi dirancang untuk memberikan kesenangan maksimal dengan keamanan terjaga. Taman ini juga memiliki area bermain untuk balita, membuatnya cocok untuk keluarga, teman, dan acara team-building. Ayo, lepaskan semangat petualanganmu dan raih pengalaman tak terlupakan di AeroXSpace Adventure!",8.7,20 reviews,57500,50000,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/2000334014268/Bali-Safari-Park---International-Tourists-ffc9835e-1bc3-4e3f-a191-3bc7513bfd0a.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Keramas, Gianyar",Bali Safari Park - International Tourists,"Nikmati liburan seru di Bali Safari Park dengan berbagai pertunjukan dan kesempatan untuk bertemu berbagai satwa liar. Rasakan sensasi sarapan bersama singa, saksikan pertunjukan edukasi Hewan, Big Cats, dan Gajah, serta berinteraksi langsung dengan satwa liar dengan memberi makan mereka di habitat alami mereka. Anda juga bisa menunggangi gajah atau menyaksikan Bali Agung Show yang memukau, menampilkan lebih dari 150 penari dan musisi Bali. Ajak orang tersayang untuk merasakan pengalaman tak terlupakan ini dan pastikan selalu menjaga protokol kesehatan seperti memakai masker dan menjaga jarak fisik demi kenyamanan dan keselamatan!",9.2,18 reviews,751470,653452,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/4156299294273/Bali-Uluwatu-Kecak-Dance-Show-All-Inclusive-b4e716c1-11f1-4382-9170-97a12b9357ed.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Pecatu, Badung Regency",Bali Uluwatu Kecak Dance Show All Inclusive,"Nikmati petualangan tak terlupakan di Bali dengan Private Tour Uluwatu & Kecak Fire Dance Performance, di mana Anda akan dibawa mengunjungi destinasi ikonik Bali dengan kenyamanan dan kemewahan. Mulai dari penjemputan di hotel menggunakan kendaraan ber-AC pribadi, Anda akan diajak ke Garuda Wisnu Kencana (GWK) untuk melihat patung raksasa Lord Vishnu yang memukau, dilanjutkan dengan kunjungan ke Melasti Beach atau Pandawa Beach yang terkenal dengan pantainya yang berpasir putih. Lanjutkan perjalanan ke Pura Luhur Uluwatu, tempat yang menawarkan panorama matahari terbenam yang menakjubkan di tebing 70 meter di atas Lautan Hindia. Saksikan pertunjukan Kecak Fire Dance yang memukau, dan akhiri dengan makan malam romantis di Jimbaran Beach, menikmati hidangan laut segar dengan suara ombak yang menenangkan. Dilengkapi dengan layanan penuh dari sopir yang juga berperan sebagai pemandu wisata dan fotografer pribadi, perjalanan ini akan memastikan kenyamanan dan pengalaman yang luar biasa!",9.6,54 reviews,173000,150000,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/2000055826232/Miracle-Ultimate-Denpasar--85546532-5a96-436d-9a5e-37d63bf5ed05.png?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"East Denpasar, Denpasar",Miracle Ultimate Denpasar,"Nikmati perawatan kulit eksklusif dengan Diamond Miracle Peel Plus di Miracle Clinic, yang menggunakan teknologi canggih untuk memberikan hasil optimal sesuai jenis kulit Anda. Dengan bantuan staf profesional, perawatan ini akan disesuaikan dengan kebutuhan kulit Anda, baik itu untuk mengatasi kulit kering, jerawat, kerutan, atau sekadar mencerahkan wajah. Prosesnya cepat, higienis, dan tanpa rasa sakit, memastikan Anda merasa lebih percaya diri setelah perawatan. Jangan lupa untuk melakukan reservasi sebelum kedatangan agar bisa menikmati perawatan di hari yang sama, ideal untuk mempersiapkan diri menjelang acara spesial atau perawatan rutin!",9.3,115 reviews,720000,612000,0,Klinik Kecantikan
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/5434637470362/Monkey-Forest-Ubud-Tickets-2e1d029c-6ef6-4e3e-98b9-d55d6f8b8149.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Monkey Forest, Gianyar",Monkey Forest Ubud Tickets,"Nikmati ketenangan di Monkey Forest Ubud, tempat perlindungan bagi monyet ekor panjang Bali yang juga merupakan rumah bagi tiga candi Hindu kuno yang berasal dari abad ke-14. Jelajahi kawasan seluas 12,5 hektar ini melalui jalur yang sudah dipaving, sambil menikmati pemandangan alam yang tenang. Di sini, Anda bisa bertemu dengan lebih dari 1.000 monyet yang bermain, makan, dan merawat diri mereka sendiri di tengah hutan. Jangan lewatkan kesempatan untuk mengunjungi candi-candi kuno yang masih digunakan untuk ibadah oleh masyarakat setempat, menjadikannya destinasi yang wajib dikunjungi bagi para pecinta alam dan satwa liar!",9.5,309 reviews,94118,86960,4,Layanan Wisata
